sentences,countofwords
"Apple’s focus on autonomous vehicles and augmented reality/virtual reality (AR/VR) technologies presents growth opportunity in the long haul. These  are  fast  emerging  as  lucrative  business  opportunities. To  ramp  up  its  efforts, Apple  has  acquired  several  smaller  ﬁrms  with expertise  in AR  hardware,  3D  gaming  and  VR  software. ",47
"These  include  SensoMotoric,  Flyby  Media,  Emotient,  TupleJump,  Turi,  Metaio, PrimeSense and Lattice Data Inc. In addition, Apple’s ARKit is helping third-party developers to work on creating AR experiences for its iOS platform. Furthermore, Apple, with its new offerings, would also be able to leverage the Internet of Things (IoT) market, which is expected to grow exponentially, given the rising demand for connected/automated devices, appliances and automobiles. ",66
"Apple has a strong balance sheet and generates signiﬁcant cash ﬂow. As of Dec 31, 2022, cash and marketable securities were $165.45 billion compared with $169.11 billion as of Sep 24, 2022. Term debt, as of Dec 31, 2022, was $109.37 billion, down from $110.09 billion as of Sep 24, 2022. ",51
"Apple returned more than $25 billion in the reported quarter through dividend payouts ($3.8 billion) and share repurchases ($19 billion). https://www.zacks.com/zer/report/AAPL?adid=zp_premhome_zer&icid=investment_services-zacks_premium-zp_internal-zacks_premium-equity_research-zer_reports  3/9  5/3/23, 2:03 PM  Reasons To Sell:  Zacks Equity Research Report for AAPL  Apple’s fortunes are tied to its most important offering, iPhone. The device plays an important role in expanding the iOS ecosystem. ",55
"However, Apple’s excessive dependence on iPhone is a risk to overall growth. Although iPhone sales have been beneﬁting from higher average selling price  (ASP),  premium  pricing  has  been  blamed  for Apple’s  stalled  market  share  growth  in countries  like  China  and  India. Moreover,  the  smartphone  segment  is  chock-a-block  with attractive devices from Samsung, Xiaomi, Oppo, and Vivo that are intensifying competition for the company. ",63
"Lackluster demand for iPhone 14, stiff competition, macro- economic challenges and increasing regulatory hassles are major headwinds. China is an important market for Apple, given the growing number of middle-class customers. However, the waning macroeconomic environment in China and the intensifying competition have dented shipment growth. ",46
"Further, recent unrest at Foxconn’s factory in Zhengzhou is expected to hurt iPhone shipments this holiday season. Competition has negatively impacted iPad’s growth, with Amazon, HTC, Microsoft, Hewlett-Packard and others ﬂooding the tablet market. iPad demand has been under pressure due to increasing availability of large-screen smartphones, in addition to stiff competition from Google Chromebooks and Microsoft Surface. ",58
"Moreover, Apple faces signiﬁcant competition in the desktop and portable computer segment from the market leader Lenovo and the likes of Hewlett-Packard, Dell, Acer and Asus. Although Apple’s newer products like Apple Watch hold signiﬁcant promise, they are yet to become a force to reckon with like iPhone. Apple is facing stiff competition in the wearables market from Xiaomi, Fitbit, Huawei and Samsung. ",63
"Apple is facing increasing regulatory hassles in Europe. The European Commission is opening two antitrust investigations into Apple’s App Store and Apple Pay practices over concerns that the company’s way of doing business hurts consumers by limiting choice and innovation and keeping prices high. Music-streaming service Spotify has ﬁled a formal complaint against Apple, alleging unfair practice by the iPhone maker to lower competition. ",64
"The complaint relates to the 30% revenue cut that the company takes from some app providers. Further, Fortnite developer Epic Games ﬁled a lawsuit against Apple after the hit game was removed from App Store. Apple stated that the game violated its software-distribution  platform  guidelines  and  has  countersued  Epic  Games. ",50
"Moreover,  the  Supreme  Court  has  allowed  the  consumers’ antitrust lawsuit against Apple to continue in a lower court. The lawsuit alleges iPhone apps to be expensive. The company is also facing lawsuits in relation to health-monitoring features of Apple Watch. ",40
"Last Earnings Report Apple Q1 Earnings Miss Estimates, Revenues Decline Y/Y Apple  reported  ﬁrst-quarter  ﬁscal  2023  earnings  of  $1.88  per  share,  which  missed  the  Zacks Consensus Estimate by 2.59% but beat our estimate of $1.87 per share. The reported earnings ﬁgure decreased 10.5% year over year. Net sales decreased 5.5% year over year to $117.15 billion, which missed the Zacks Consensus Estimate by 3.34% and our estimate of $118.32 billion. ",70
"Unfavorable forex hurt revenues by more than 800 basis points (bps). Quarter Ending Report Date Sales Surprise EPS Surprise Quarterly EPS Annual EPS (TTM)  12/2022  Feb 02, 2023 -3.34% -2.59% 1.88 5.89  iPhone sales decreased 8.2% from the year-ago quarter to $65.78 billion and accounted for 56.1% of total sales. However, the ﬁgure missed the consensus mark of $68.53 billion. ",60
Our estimate for ﬁscal ﬁrst-quarter iPhone sales was pegged at $60.96 billion. iPhone sales fell due to supply shortages for iPhone 14 Pro and iPhone 14 Pro Max in November and through December due to COVID-19 issues in China. Services  revenues  grew  6.4%  from  the  year-ago  quarter  to  $20.77  billion  and  accounted  for  17.7%  of  sales. ,56
"The  ﬁgure  beat  the  Zacks Consensus Estimate by 1.06%. Our estimate for ﬁscal ﬁrst-quarter Services revenues was pegged at $20.21 billion. Apple now has more than 935 million paid subscribers across its Services portfolio, up 35 million sequentially and 150 million year over year. ",44
"Geographical Details America’s sales decreased 4.3% year over year to $49.28 billion and accounted for 42.1% of total sales. The ﬁgure missed the Zacks Consensus Estimate by 2.67% and our estimate of $51.15 billion. Europe generated $27.68 billion in sales, down 7% on a year-over-year basis. ",46
"The region accounted for 25.3% of total sales. Europe’s sales  https://www.zacks.com/zer/report/AAPL?adid=zp_premhome_zer&icid=investment_services-zacks_premium-zp_internal-zacks_premium-equity_research-zer_reports  4/9  5/3/23, 2:03 PM  Zacks Equity Research Report for AAPL  missed the consensus mark by 4.2% and our estimate of $28.54 billion. Greater  China  sales  decreased  7.3%  from  the  year-ago  quarter  to  $23.91  billion,  accounting  for  20.4%  of  total  sales. ",51
"The  ﬁgure  beat  the consensus mark by 3.73% and our estimate of $22.02 billion. Japan’s sales of $6.76 billion missed the Zacks Consensus Estimate by 14.48% and our estimate of $7.86 billion. Japan’s sales decreased 5% year over year, accounting for 5.8% of total sales. ",45
"Rest of the Asia Paciﬁc generated sales of $9.54 billion, down 2.8% year over year. The region accounted for 7.1% of total sales. The ﬁgure beat the consensus mark by 6% and our estimate of $8.77 billion. ",37
"Top-Line Details Product sales (82.3% of sales) decreased 7.7% year over year to $96.39 billion. Non-iPhone revenues (iPad, Mac and Wearables) decreased 6.7% on a combined basis. iPad sales of $9.4 billion improved 29.6% year over year and accounted for 8% of total sales. ",44
The ﬁgure beat the consensus mark by 22.51% and our estimate of $8.98 billion. Mac sales of $7.74 billion decreased 28.7% from the year-ago quarter and accounted for 6.6% of total sales. The ﬁgure missed the consensus mark by 20.32% and our estimate of $12.17 billion. ,46
"Wearables, Home and Accessories sales decreased 8.3% year over year to $13.48 billion and accounted for 10.7% of total sales. The ﬁgure missed the Zacks Consensus Estimate by 12.57% and our estimate of $15.99 billion. Apple Watch’s adoption rate continues to grow rapidly. ",43
"More than two-thirds of the customers who purchased the Apple Watch in the reported quarter were ﬁrst-time customers. Operating Details The gross margin of 43% contracted 80 bps on a year-over-year basis. However, the gross margin decreased 40 bps sequentially due to unfavorable forex. ",44
"Products’ gross margin expanded 240 bps sequentially to 37%. Services’ gross margin was 70.8%, up 30 bps sequentially. Operating expenses rose 17.1% year over year to $14.32 billion due to higher research and development, and selling, general and administrative expenses, which increased 33.6% and 2.4%, respectively. ",46
"Operating margin contracted 270 bps on a year-over-year basis to 30.7%. Balance Sheet As of Dec 31, 2022, cash and marketable securities were $165.45 billion compared with $169.11 billion as of Sep 24, 2022. Term debt, as of Dec 31, 2022, was $109.37 billion, down from $110.09 billion as of Sep 24, 2022. ",53
Apple returned more than $25 billion in the reported quarter through dividend payouts ($3.8 billion) and share repurchases ($19 billion). Guidance Apple did not provide revenue guidance for the second quarter of ﬁscal 2023. It expects the March quarter’s year-over-year revenue growth to be similar to that of the December quarter due to unfavorable forex of roughly 5%. ,58
"Services  revenue  growth  is  expected  to  be  negatively  impacted  by  challenging  macroeconomic  conditions,  as  well  as  weakness  in  digital advertising and gaming. Nevertheless, revenues are expected to grow year over year. For iPhone, Apple expects the March quarter’s year-over-year revenue growth to accelerate relative to the December quarter’s year-over-year revenue growth. ",51
"For Mac and iPad, revenues are expected to decline in double digits on a year-over-year basis due to challenging comparison and macroeconomic headwinds. The gross margin is expected between 43.5% and 44.5% in the ﬁscal second quarter. Operating expenses are expected between $13.7 billion and $13.9 billion. ",47
"Recent News  https://www.zacks.com/zer/report/AAPL?adid=zp_premhome_zer&icid=investment_services-zacks_premium-zp_internal-zacks_premium-equity_research-zer_reports  5/9  5/3/23, 2:03 PM  Zacks Equity Research Report for AAPL  On Apr 13, Apple announced that by 2025 it plans to use 100% recycled cobalt in its self-designed batteries. On Mar 28, 2023, Apple introduced Apple Pay Later in the U.S. Apple Pay Late1 allows users to split purchases into four payments, spread over six weeks with no interest and no fees. Users can apply for Apple Pay Later loans of $50 to $1,000, which can be used for online and in-app purchases made on iPhone and iPad with merchants that accept Apple Pay. ",97
"On Mar 22, Apple and Major League Baseball (MLB) announced that Friday Night Baseball, a weekly doubleheader, will be available to all Apple TV+ subscribers on Fridays throughout the regular season. On Mar 14, Apple launched Shop with a Specialist over Video, a new live shopping experience on apple.com for customers in the U.S. With this new service, customers can browse the latest models, explore new features, and learn about Apple Trade In offers, carrier deals, switching to iOS, and various ﬁnancing options. On Mar 12, Apple announced that its animation movie The Boy, the Mole, the Fox and the Horse winning an Oscar for Best Animated Short Film. ",109
"On Feb 1, Apple announced the availability of MLS Season Pass on the Apple TV app. This season pass available in more than 100 countries and regions gives fans access to a wide variety of free on-demand content. The pass features every live MLS regular-season match, the entire Audi MLS Cup Playoffs, and Leagues Cup all in one place. ",59
"Valuation Apple shares are up 30.4% in the year-to-date period and 6.3% over the trailing 12-month period. Stocks in the Zacks sub-industry and the Zacks Computer & Technology sector are up 30.3% and 20.3% in the year-to-date period, respectively. Over the past year, the Zacks sub-industry has gained 6% while the sector is down 2%. ",55
"The S&P 500 index is up 9% in the year-to-date period but down 0.6% in the past year. The stock is currently trading at 26.53X forward 12-month earnings, which compares to 25.93X for the Zacks sub-industry, 22.85X for the Zacks sector and 18.53X for the S&P 500 index. Over  the  past  ﬁve  years,  the  stock  has  traded  as  high  as  36.06X  and  as  low  as  10.47X,  with  a  5-year  median  of  23.04X. ",72
"Our  Neutral recommendation indicates that the stock will perform in line with the market. Our $178 price target reﬂects 27.86X forward 12-month earnings. The table below shows summary valuation data for AAPL  https://www.zacks.com/zer/report/AAPL?adid=zp_premhome_zer&icid=investment_services-zacks_premium-zp_internal-zacks_premium-equity_research-zer_reports  6/9  5/3/23, 2:03 PM  Zacks Equity Research Report for AAPL  Industry Analysis Zacks Industry Rank: Top 26% (66 out of 250)  Top Peers  Company (Ticker) Amazon.com, Inc. (AMZN) 3D Systems Corporati… (DDD) Dell Technologies In… (DELL) Alphabet Inc. (GOOGL) Garmin Ltd. (GRMN) HP Inc. (HPQ) Lenovo Group Ltd. (LNVGY) Microsoft Corporatio… (MSFT)  Rec Rank 22  Neutral  Neutral  Neutral  Neutral  Neutral  Neutral  Neutral  Neutral  33  33  33  33  33  22  22  Industry Comparison Industry: Computer - Mini Computers  Industry Peers  Zacks Recommendation (Long Term)  Zacks Rank (Short Term)     AAPL  Neutral  33  X Industry  S&P 500  -  -  -  -  DDD  Neutral  33  HPQ  Neutral  33  LNVGY  Neutral  22  VGM Score Market Cap # of Analysts Dividend Yield Value Score Cash/Price EV/EBITDA PEG Ratio Price/Book (P/B) Price/Cash Flow (P/CF) P/E (F1) Price/Sales (P/S) Earnings Yield Debt/Equity Cash Flow ($/share) Growth Score Hist. ",173
EPS Growth (3-5 yrs) Proj. EPS Growth (F1/F0) Curr. Cash Flow Growth Hist. ,13
"Cash Flow Growth (3-5 yrs) Current Ratio Debt/Capital Net Margin Return on Equity Sales/Assets Proj. Sales Growth (F1/F0) Momentum Score Daily Price Chg 1 Week Price Chg 4 Week Price Chg 12 Week Price Chg 52 Week Price Chg 20 Day Average Volume  BB 12.48 B 1 1.80% AA 0.41 2.79 NA 2.15 3.76 7.74 0.19 12.93% 0.67 5.47 DD 50.34% -17.78% 47.18% 20.87% 0.90 40.14% 2.89% 34.03% 1.52 -8.40% FF 0.49% -6.18% -5.21% 27.27% 6.94% 18,259 https://www.zacks.com/zer/report/AAPL?adid=zp_premhome_zer&icid=investment_services-zacks_premium-zp_internal-zacks_premium-equity_research-zer_reports  CC 2,666.63 B 13 0.55% DD 0.02 20.85 2.32 47.01 24.17 28.94 6.88 3.57% 1.76 6.97 AA 22.93% -3.76% 4.66% 13.64% 0.94 63.72% 24.56% 163.45% 1.12 -2.50% FF -0.62% 2.82% 1.76% 8.98% 5.68% 48,371,028  FF 1.17 B 3 0.00% FF 0.48 -13.41 NA 1.57 NA NA 2.17 -2.34% 0.60 -0.31 FF NA 8.70% -253.71% NA 5.50 37.57% -22.81% -11.56% 0.37 3.30% DD -2.39% 0.33% -11.89% -21.86% -24.50% 826,115  AA 29.68 B 7 3.49% AA 0.06 7.01 3.33 NA 5.98 9.10 0.50 10.99% -2.77 5.04 CC 20.70% -18.87% -6.22% 9.85% 0.69 NA 4.36% -141.20% 1.55 -12.20% AA 0.53% 0.78% 1.93% 0.40% -20.57% 5,522,678  - 21.08 B 5 1.17% - 0.24 4.90 2.79 2.15 5.98 9.10 1.34 7.28% 0.63 5.26 - 22.93% 0.56% -0.78% 13.64% 0.92 40.14% 3.63% 11.24% 1.32 0.08% - -0.07% 0.55% -1.72% 4.69% -7.44% 3,174,396  - 29.91 B 14 1.73% - 0.04 13.27 2.08 3.14 12.44 17.60 2.42 5.63% 0.62 9.02 - 10.18% 5.54% 6.70% 9.85% 1.22 39.96% 11.93% 17.61% 0.55 4.68% - -1.16% 1.18% 0.46% -1.07% -1.34% 1,783,011  7/9  5/3/23, 2:03 PM  Zacks Equity Research Report for AAPL  Industry Comparison Industry: Computer - Mini Computers  Industry Peers  (F1) EPS Est 1 week change (F1) EPS Est 4 week change (F1) EPS Est 12 week change (Q1) EPS Est Mthly Chg  Analyst Earnings Model     AAPL 0.00% -0.50% -2.19% -2.02%  X Industry 0.00% 0.00% -1.34% 0.00%  S&P 500 0.00% 0.00% -0.39% -0.04%  DDD 0.00% 0.00% -15.70% 0.00%  HPQ 0.22% 1.31% -0.49% 0.83%  LNVGY 0.00% 0.00% 3.91% NA  Zacks Stock Rating System We offer two rating systems that take into account investors' holding horizons: Zacks Rank and Zacks Recommendation. Each provides valuable insights into the future proﬁtability of the stock and can be used separately or in combination with each other depending on your investment style. ",373
"Zacks Recommendation The Zacks Recommendation aims to predict performance over the next 6 to 12 months. The foundation for the quantitatively determined Zacks Recommendation is trends in the company's estimate revisions and earnings outlook. The Zacks Recommendation is broken down into 3 Levels; Outperform, Neutral and Underperform. ",47
"Unlike many Wall Street ﬁrms, we have an excellent balance between the number of Outperform and Neutral recommendations. Our team of 70 analysts are fully versed in the beneﬁts of earnings estimate revisions and how that is harnessed through the Zacks quantitative rating system. But we have given our analysts the ability to override the Zacks Recommendation for the 1200  https://www.zacks.com/zer/report/AAPL?adid=zp_premhome_zer&icid=investment_services-zacks_premium-zp_internal-zacks_premium-equity_research-zer_reports  8/9  5/3/23, 2:03 PM  Zacks Equity Research Report for AAPL  stocks  that  they  follow. ",75
"The  reason  for  the  analyst  over-rides  is  that  there  are  often  factors  such  as  valuation,  industry  conditions  and management effectiveness that a trained investment professional can spot better than a quantitative model. Zacks Rank The Zacks Rank is our short-term rating system that is most effective over the one- to three-month holding horizon. The underlying driver for the quantitatively-determined Zacks Rank is the same as the Zacks Recommendation, and reﬂects trends in earnings estimate revisions. ",75
"Zacks Style Scores The Zacks Style Score is as a complementary indicator to the Zacks rating system, giving investors a way to focus on the highest rated stocks that best ﬁt their own stock picking preferences. Academic  research  has  proven  that  stocks  with  the  best  Value,  Growth  and  Momentum  characteristics outperform the market. The Zacks Style Scores rate stocks on each of these individual styles and assigns a rating  of  A,  B,  C,  D  and  F.  We  also  produce  the  VGM  Score  (V  for  Value,  G  for  Growth  and  M  for Momentum), which combines the weighted average of the individual Style Scores into one score. ",105
"This is perfectly suited for those who want their stocks to have the best scores across the board. Value Score  Growth Score  Momentum Score  VGM Score  DD  AA  FF  CC  As an investor, you want to buy stocks with the highest probability of success. That means buying stocks with a Zacks Recommendation of Outperform, which also has a Style Score of an A or a B. ",66
Disclosures This report contains independent commentary to be used for informational purposes only. The analysts contributing to this report do not hold any shares of this stock. The analysts contributing to this report do not serve on the board of the company that issued this stock. ,46
"The  EPS  and  revenue  forecasts  are  the  Zacks  Consensus  estimates,  unless  indicated  otherwise  on  the  report's  ﬁrst  page. Additionally, the analysts contributing to this report certify that the views expressed herein accurately reﬂect the analysts' personal views as to the subject securities and issuers. ZIR certiﬁes that no part of the analysts' compensation was, is, or will be, directly or indirectly, related to the speciﬁc recommendation or views expressed by the analyst in the report. ",75
"Additional information on the securities mentioned in this report is available upon request. This report is based on data obtained from sources we believe to be reliable, but is not guaranteed as to accuracy and does not purport to be complete. Any opinions expressed herein are subject to change. ",49
"ZIR is not an investment advisor and the report should not be construed as advice designed to meet the particular investment needs of any investor. Prior to making any investment decision, you are advised to consult with your broker, investment advisor, or other appropriate tax or ﬁnancial professional to determine the suitability of any investment. This report and others like it are published regularly and not in response to episodic market activity or events affecting the securities industry. ",78
"This report is not to be construed as an offer or the solicitation of an offer to buy or sell the securities herein mentioned. ZIR or its ofﬁcers, employees or customers may have a position long or short in the securities mentioned and buy or sell the securities from time to time. ZIR is not a broker-dealer. ",57
ZIR may enter into arms-length agreements with broker-dealers to provide this research to their clients. Zacks and its staff are not involved in investment banking activities for the stock issuer covered in this report. ZIR uses the following rating system for the securities it covers. ,45
Outperform- ZIR expects that the subject company will outperform the broader U.S. equities markets over the next six to twelve months. Neutral- ZIR expects that the company will perform in line with the broader U.S. equities  markets  over  the  next  six  to  twelve  months. Underperform-  ZIR  expects  the  company  will  underperform  the  broader  U.S.  equities markets over the next six to twelve months. ,63
"No part of this report can be reprinted, republished or transmitted electronically without the prior written authorization of ZIR. https://www.zacks.com/zer/report/AAPL?adid=zp_premhome_zer&icid=investment_services-zacks_premium-zp_internal-zacks_premium-equity_research-zer_reports  9/9 ",21
